gene1	gene2	pip
ENSG00000143537	ENSG00000267654	0.010752688
ENSG00000171522	ENSG00000173531	0.009877469
ENSG00000162924	ENSG00000168961	0.007876969
ENSG00000158987	ENSG00000197114	0.003500875
ENSG00000203963	ENSG00000237693	0.003125781
ENSG00000167207	ENSG00000198502	0.00300075
ENSG00000224203	ENSG00000248993	0.002625656
ENSG00000231925	ENSG00000248993	0.0020005
ENSG00000260302	ENSG00000264594	0.001625406
ENSG00000173540	ENSG00000266786	0.001500375
ENSG00000204310	ENSG00000204482	0.000375094
